title,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,studio,aired_from,aired_to,year,start_season,date_aired,duration_minutes,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,NA,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,Average Rank of Related,Adaptation,Sequel,Side story,Alternative version,Prequel,Summary,Other,Spin-off,Alternative setting,Character,Parent story,Full story
Kagaku Ninja-tai Gatchaman II,TV,Unknown,52.0,Finished Airing,False,PG-13 - Teens 13 or older,6.56,322.0,5374.0,7889.0,1216.0,5.0,Tatsunoko Production,1978-10-01 00:00:00,1979-09-30 00:00:00,1978.0,Fall,364 days 00:00:00,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagagutsu wo Haita Neko no Bouken,TV,Unknown,26.0,Finished Airing,False,G - All Ages,6.77,178.0,4452.0,9618.0,476.0,2.0,unknown,1992-04-01 00:00:00,1992-09-23 00:00:00,1992.0,Spring,175 days 00:00:00,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.3333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahou Shoujo Taisen,TV,Other,26.0,Finished Airing,False,PG-13 - Teens 13 or older,5.81,4366.0,7777.0,3188.0,14049.0,5.0,Gainax,2014-04-08 00:00:00,2014-09-30 00:00:00,2014.0,Spring,175 days 00:00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shichinin no Nana,TV,Manga,25.0,Finished Airing,False,PG-13 - Teens 13 or older,6.88,834.0,4010.0,5536.0,3633.0,15.0,SmallStudio,2002-01-10 00:00:00,2002-06-27 00:00:00,2002.0,Winter,168 days 00:00:00,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Netoge no Yome wa Onnanoko ja Nai to Omotta?,TV,Light novel,12.0,Finished Airing,False,PG-13 - Teens 13 or older,7.08,117011.0,3278.0,307.0,231131.0,724.0,SmallStudio,2016-04-07 00:00:00,2016-06-23 00:00:00,2016.0,Spring,77 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Shin Tenchi Muyou!,TV,Original,26.0,Finished Airing,False,PG-13 - Teens 13 or older,6.94,13539.0,3795.0,2315.0,25718.0,94.0,AIC,1997-04-01 00:00:00,1997-09-23 00:00:00,1997.0,Spring,175 days 00:00:00,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.66666666666667,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Yojouhan Shinwa Taikei,TV,Novel,11.0,Finished Airing,False,R - 17+ (violence & profanity),8.65,60508.0,61.0,421.0,183571.0,9442.0,Madhouse,2010-04-23 00:00:00,2010-07-02 00:00:00,2010.0,Spring,70 days 00:00:00,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kore wa Zombie Desu ka? of the Dead,TV,Light novel,10.0,Finished Airing,False,R - 17+ (violence & profanity),7.71,140584.0,1081.0,293.0,236966.0,687.0,Studio Deen,2012-04-05 00:00:00,2012-06-07 00:00:00,2012.0,Spring,63 days 00:00:00,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4014.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peach Girl,TV,Manga,25.0,Finished Airing,False,PG-13 - Teens 13 or older,7.13,31439.0,3094.0,1362.0,59231.0,682.0,SmallStudio,2005-01-08 00:00:00,2005-06-25 00:00:00,2005.0,Winter,168 days 00:00:00,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4306.333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Prism Ark,TV,Visual novel,12.0,Finished Airing,False,R+ - Mild Nudity,6.55,7096.0,5424.0,2762.0,18566.0,32.0,SmallStudio,2007-10-08 00:00:00,2007-12-24 00:00:00,2007.0,Fall,77 days 00:00:00,24.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
